combo_index,score_all12,n_scenes_all12,score_manbo,n_scenes_manbo,score_panmao,n_scenes_panmao,rep_cfg_manbo,rep_cfg_panmao
145,0.6366608796296296,12,0.6841435185185185,6,0.5891782407407407,6,872,1844
156,0.6361304398148148,12,0.7387539351851852,6,0.5335069444444444,6,938,1910
5,0.6329957175925925,12,0.6622490740740741,6,0.6037423611111111,6,32,1004
95,0.6294754050925925,12,0.6764855324074074,6,0.5824652777777777,6,572,1544
117,0.6292920138888888,12,0.7171876157407406,6,0.541396412037037,6,704,1676
121,0.6279803240740741,12,0.5915894675925927,6,0.6643711805555556,6,728,1700
64,0.6266781250000001,12,0.676774537037037,6,0.576581712962963,6,386,1358
30,0.6238715277777778,12,0.46610717592592593,6,0.7816358796296295,6,182,1154
137,0.6215565972222222,12,0.4765046296296296,6,0.7666085648148148,6,824,1796
65,0.6214119791666667,12,0.7246721064814814,6,0.5181518518518519,6,392,1364
78,0.620052199074074,12,0.6362268518518518,6,0.6038775462962962,6,470,1442
38,0.6171103009259259,12,0.5930940972222222,6,0.6411265046296296,6,230,1202
47,0.6165413194444445,12,0.4880787037037037,6,0.7450039351851853,6,284,1256
28,0.6128277777777779,12,0.6432483796296297,6,0.5824071759259261,6,170,1142
11,0.611082175925926,12,0.6433641203703705,6,0.5788002314814814,6,68,1040
73,0.6097414930555556,12,0.5194829861111111,6,0.7000000000000001,6,440,1412
24,0.6086033564814816,12,0.8105708333333334,6,0.40663587962962966,6,146,1118
17,0.6068673032407408,12,0.7024884259259259,6,0.5112461805555556,6,104,1076
41,0.6034143518518519,12,0.7783179398148148,6,0.4285107638888889,6,248,1220
94,0.5998842013888889,12,0.797415162037037,6,0.4023532407407408,6,566,1538
109,0.5988041087962963,12,0.7369407407407408,6,0.4606674768518519,6,656,1628
26,0.5967206597222222,12,0.6542824074074074,6,0.539158912037037,6,158,1130
104,0.5881559606481481,12,0.5612462962962963,6,0.6150656250000001,6,626,1598
143,0.5869502314814814,12,0.6077739583333333,6,0.5661265046296297,6,860,1832
44,0.585175462962963,12,0.42685185185185187,6,0.743499074074074,6,266,1238
8,0.5801504629629629,12,0.7071565972222222,6,0.45314432870370375,6,50,1022
152,0.5793691550925925,12,0.6870755787037036,6,0.47166273148148147,6,914,1886
118,0.5776234374999999,12,0.6097415509259259,6,0.545505324074074,6,710,1682
105,0.5742670138888889,12,0.5661458333333333,6,0.5823881944444445,6,632,1604
68,0.5736786458333333,12,0.23883101851851854,6,0.9085262731481482,6,410,1382
70,0.5724440972222222,12,0.4883873842592592,6,0.6565008101851851,6,422,1394
