ConfigID,avg_f1,n_images,target,combo_index
852,0.00034722222222222224,1440,manbo,141
853,0.0011576388888888888,1440,manbo,142
854,0.00023125,1440,manbo,142
855,0.00034722222222222224,1440,manbo,142
856,0.9959493055555555,1440,manbo,142
857,0.9993055555555556,1440,manbo,142
858,0.6494215277777778,1440,manbo,142
859,0.5936340277777777,1440,manbo,143
860,0.9994215277777777,1440,manbo,143
861,0.38263888888888886,1440,manbo,143
862,0.7288194444444445,1440,manbo,143
863,0.3350694444444444,1440,manbo,143
864,0.6070604166666667,1440,manbo,143
865,0.2881944444444444,1440,manbo,144
866,0.0,1440,manbo,144
867,0.532176388888889,1440,manbo,144
868,0.00034722222222222224,1440,manbo,144
869,0.14560208333333333,1440,manbo,144
870,0.35335625000000004,1440,manbo,144
871,0.8684027777777777,1440,manbo,145
872,0.7652777777777777,1440,manbo,145
873,0.9991895833333334,1440,manbo,145
874,0.5018520833333333,1440,manbo,145
875,0.4363423611111111,1440,manbo,145
876,0.5337965277777778,1440,manbo,145
877,0.9996527777777777,1440,manbo,146
878,0.6765048611111111,1440,manbo,146
879,0.42731527777777784,1440,manbo,146
880,0.3509263888888889,1440,manbo,146
881,0.41006944444444443,1440,manbo,146
882,0.42858819444444446,1440,manbo,146
883,0.9994215277777777,1440,manbo,147
884,0.22708333333333333,1440,manbo,147
885,0.6496527777777777,1440,manbo,147
886,0.982870138888889,1440,manbo,147
887,0.04710625,1440,manbo,147
888,0.9990736111111113,1440,manbo,147
889,0.9994215277777777,1440,manbo,148
890,0.74375,1440,manbo,148
891,0.6493055555555556,1440,manbo,148
892,0.3327548611111111,1440,manbo,148
893,0.05671319444444445,1440,manbo,148
894,0.6333333333333333,1440,manbo,148
895,0.9993055555555556,1440,manbo,149
896,0.9991895833333334,1440,manbo,149
897,0.6185180555555556,1440,manbo,149
898,0.06805486111111111,1440,manbo,149
899,0.47800902777777776,1440,manbo,149
900,0.5541666666666667,1440,manbo,149
901,0.3853006944444445,1440,manbo,150
902,0.8569444444444444,1440,manbo,150
