ConfigID,name,index,minTemperature,maxTemperature,hFOVPixels,vFOVPixels,hFOVDeg,vFOVDeg,senSim_percentBlur,senSim_percentNoise,trackFilePath
1030,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,0.0,E:\track.trk
1031,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,0.0,E:\track.trk
1032,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,0.0,E:\track.trk
1033,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,0.0,E:\track.trk
1034,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,0.0,E:\track.trk
1035,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,0.0,E:\track.trk
1036,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,0.0,E:\track.trk
1037,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,0.0,E:\track.trk
1038,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,0.0,E:\track.trk
1039,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,0.0,E:\track.trk
1040,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,0.0,E:\track.trk
1041,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,0.0,E:\track.trk
1042,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,0.0,E:\track.trk
1043,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,0.0,E:\track.trk
1044,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,0.0,E:\track.trk
1045,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,0.5,E:\track.trk
1046,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,0.5,E:\track.trk
1047,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,0.5,E:\track.trk
1048,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,0.5,E:\track.trk
1049,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,0.5,E:\track.trk
1050,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,0.5,E:\track.trk
1051,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,0.5,E:\track.trk
1052,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,0.5,E:\track.trk
1053,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,0.5,E:\track.trk
1054,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,0.5,E:\track.trk
1055,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,0.5,E:\track.trk
1056,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,0.5,E:\track.trk
1057,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,0.5,E:\track.trk
1058,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,0.5,E:\track.trk
1059,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,0.5,E:\track.trk
1060,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,0.5,E:\track.trk
1061,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,0.5,E:\track.trk
1062,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,0.5,E:\track.trk
1063,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,1.0,E:\track.trk
1064,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,1.0,E:\track.trk
1065,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,1.0,E:\track.trk
1066,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,1.0,E:\track.trk
